,Bostezo,perCLOS,IndicadorE,IndBostezo,Clase
0,0.1,1.0,0,0.0,0.14906666666666668
1,0.1,1.0,0,0.0,0.14906666666666668
2,0.1,1.0,0,0.0,0.14906666666666668
3,0.1,1.0,0,0.0,0.14906666666666668
4,0.1,1.0,0,0.0,0.14906666666666668
5,0.1,1.0,0,0.0,0.14906666666666668
6,0.1,1.0,0,0.0,0.14906666666666668
7,0.1,1.0,0,0.0,0.14906666666666668
8,0.1,1.0,0,0.0,0.14906666666666668
9,0.1,1.0,0,0.0,0.14906666666666668
10,0.1,1.0,0,0.0,0.14906666666666668
11,0.1,1.0,0,0.0,0.14906666666666668
12,0.1,0.992037355080415,0,0.0,0.14906666666666668
13,0.1,1.0,0,0.0,0.14906666666666668
14,0.1,1.0,0,0.0,0.14906666666666668
15,0.1,1.0,0,0.0,0.14906666666666668
16,0.1,1.0,0,0.0,0.14906666666666668
17,0.1,1.0,0,0.0,0.14906666666666668
18,0.1,0.997672789177922,0,0.0,0.14906666666666668
19,0.1,1.0,0,0.0,0.14906666666666668
20,0.1,0.997672789177922,0,0.0,0.14906666666666668
21,0.1,0.992037355080415,0,0.0,0.14906666666666668
22,0.1,1.0,0,0.0,0.14906666666666668
23,0.1,1.0,0,0.0,0.14906666666666668
24,0.1,1.0,0,0.0,0.14906666666666668
25,0.1,0.997672789177922,0,0.0,0.14906666666666668
26,0.1,0.9873829334362589,0,0.0,0.14906666666666668
27,0.1,0.9966917767245711,0,0.0,0.14906666666666668
28,0.1,0.9953455783558439,0,0.0,0.14906666666666668
29,0.1,0.9953455783558439,0,0.0,0.14906666666666668
30,0.1,0.992037355080415,0,0.0,0.14906666666666668
31,0.1,0.9933835534491422,0,0.0,0.14906666666666668
32,0.1,0.9966917767245711,0,0.0,0.14906666666666668
33,0.1,0.9943645659024931,0,0.0,0.14906666666666668
34,0.1,0.9930183675337659,0,0.0,0.14906666666666668
35,0.1,0.9943645659024931,0,0.0,0.14906666666666668
36,0.1,0.9877481193516353,0,0.0,0.14906666666666668
37,0.1,0.9910563426270642,0,0.0,0.14906666666666668
38,0.1,0.9398713245060708,0,0.0,0.14906666666666668
39,0.1,0.7742951633465429,1,0.5,0.2704733151139411
40,0.1,0.9112791921154006,0,0.0,0.14906666666666668
41,0.1,0.992037355080415,0,0.0,0.14906666666666668
42,0.1,0.9933835534491422,0,0.0,0.14906666666666668
43,0.1,0.9933835534491422,0,0.0,0.14906666666666668
44,0.1,1.0,0,0.0,0.14906666666666668
45,0.1,0.9943645659024931,0,0.0,0.14906666666666668
46,0.1,0.9943645659024931,0,0.0,0.14906666666666668
47,0.1,0.9352136963369073,0,0.0,0.14906666666666668
48,0.1,0.9517043023713813,0,0.0,0.14906666666666668
49,0.1,0.9844398960762064,0,0.0,0.14906666666666668
50,0.1,0.9966917767245711,0,0.0,0.14906666666666668
51,0.1,0.9966917767245711,0,0.0,0.14906666666666668
52,0.1,1.0,0,0.0,0.14906666666666668
53,0.1,0.997672789177922,0,0.0,0.14906666666666668
54,0.1,1.0,0,0.0,0.14906666666666668
55,0.1,0.997672789177922,0,0.0,0.14906666666666668
56,0.1,0.9966917767245711,0,0.0,0.14906666666666668
57,0.1,1.0,0,0.0,0.14906666666666668
58,0.1,0.9910563426270642,0,0.0,0.14906666666666668
59,0.1,0.9900753301737131,0,0.0,0.14906666666666668
60,0.1,1.0,0,0.0,0.14906666666666668
61,0.1,1.0,0,0.0,0.14906666666666668
62,0.1,1.0,0,0.0,0.14906666666666668
63,0.1,1.0,0,0.0,0.14906666666666668
64,0.1,1.0,0,0.0,0.14906666666666668
65,0.1,0.997672789177922,0,0.0,0.14906666666666668
